datetime,site_name,pm25_value
2025-08-01 00:00:00+00:00,37 Lorry Station,10.11
2025-08-01 01:00:00+00:00,37 Lorry Station,11.61
2025-08-01 02:00:00+00:00,37 Lorry Station,12.15
2025-08-01 03:00:00+00:00,37 Lorry Station,14.97
2025-08-01 04:00:00+00:00,37 Lorry Station,19.44
2025-08-01 05:00:00+00:00,37 Lorry Station,23.36
2025-08-01 06:00:00+00:00,37 Lorry Station,33.7
2025-08-01 07:00:00+00:00,37 Lorry Station,30.35
2025-08-01 08:00:00+00:00,37 Lorry Station,23.66
2025-08-01 09:00:00+00:00,37 Lorry Station,21.23
2025-08-01 10:00:00+00:00,37 Lorry Station,16.73
2025-08-01 11:00:00+00:00,37 Lorry Station,16.55
2025-08-01 12:00:00+00:00,37 Lorry Station,16.08
2025-08-01 13:00:00+00:00,37 Lorry Station,13.76
2025-08-01 14:00:00+00:00,37 Lorry Station,14.17
2025-08-01 15:00:00+00:00,37 Lorry Station,17.22
2025-08-01 16:00:00+00:00,37 Lorry Station,24.4
2025-08-01 17:00:00+00:00,37 Lorry Station,28.78
2025-08-01 18:00:00+00:00,37 Lorry Station,34.73
2025-08-01 19:00:00+00:00,37 Lorry Station,38.89
2025-08-01 20:00:00+00:00,37 Lorry Station,24.98
2025-08-01 21:00:00+00:00,37 Lorry Station,18.86
2025-08-01 22:00:00+00:00,37 Lorry Station,21.45
2025-08-01 23:00:00+00:00,37 Lorry Station,22.37
2025-08-02 01:00:00+00:00,37 Lorry Station,19.1
2025-08-02 02:00:00+00:00,37 Lorry Station,18.92
2025-08-02 03:00:00+00:00,37 Lorry Station,19.05
2025-08-02 04:00:00+00:00,37 Lorry Station,25.66
2025-08-02 05:00:00+00:00,37 Lorry Station,40.32
2025-08-02 06:00:00+00:00,37 Lorry Station,48.21
2025-08-02 07:00:00+00:00,37 Lorry Station,31.5
2025-08-02 10:00:00+00:00,37 Lorry Station,17.4
2025-08-02 11:00:00+00:00,37 Lorry Station,17.87
2025-08-02 12:00:00+00:00,37 Lorry Station,16.78
2025-08-02 13:00:00+00:00,37 Lorry Station,22.56
2025-08-02 14:00:00+00:00,37 Lorry Station,21.68
2025-08-02 15:00:00+00:00,37 Lorry Station,23.61
2025-08-02 16:00:00+00:00,37 Lorry Station,22.6
2025-08-02 17:00:00+00:00,37 Lorry Station,29.07
2025-08-02 18:00:00+00:00,37 Lorry Station,31.79
2025-08-02 19:00:00+00:00,37 Lorry Station,33.97
2025-08-02 20:00:00+00:00,37 Lorry Station,35.35
