datetime,site_name,pm25_value
2025-02-01 00:00:00+00:00,37 Lorry Station,34.75
2025-02-01 01:00:00+00:00,37 Lorry Station,37.32
2025-02-01 02:00:00+00:00,37 Lorry Station,30.2
2025-02-01 03:00:00+00:00,37 Lorry Station,37.48
2025-02-01 04:00:00+00:00,37 Lorry Station,41.72
2025-02-01 05:00:00+00:00,37 Lorry Station,50.74
2025-02-01 06:00:00+00:00,37 Lorry Station,57.48
2025-02-01 07:00:00+00:00,37 Lorry Station,57.28
2025-02-01 08:00:00+00:00,37 Lorry Station,45.34
2025-02-01 09:00:00+00:00,37 Lorry Station,32.66
2025-02-01 10:00:00+00:00,37 Lorry Station,30.4
2025-02-01 11:00:00+00:00,37 Lorry Station,32.94
2025-02-01 13:00:00+00:00,37 Lorry Station,16.28
2025-02-01 14:00:00+00:00,37 Lorry Station,13.87
2025-02-01 15:00:00+00:00,37 Lorry Station,16.87
2025-02-01 17:00:00+00:00,37 Lorry Station,39.59
2025-02-01 18:00:00+00:00,37 Lorry Station,66.96
2025-02-01 20:00:00+00:00,37 Lorry Station,34.71
2025-02-01 21:00:00+00:00,37 Lorry Station,29.09
2025-02-01 22:00:00+00:00,37 Lorry Station,22.72
2025-02-01 23:00:00+00:00,37 Lorry Station,24.32
2025-02-02 01:00:00+00:00,37 Lorry Station,45.91
2025-02-02 02:00:00+00:00,37 Lorry Station,41.11
2025-02-02 03:00:00+00:00,37 Lorry Station,41.01
2025-02-02 04:00:00+00:00,37 Lorry Station,47.18
2025-02-02 05:00:00+00:00,37 Lorry Station,45.09
2025-02-02 06:00:00+00:00,37 Lorry Station,49.66
2025-02-02 09:00:00+00:00,37 Lorry Station,37.39
2025-02-02 10:00:00+00:00,37 Lorry Station,37.66
2025-02-02 12:00:00+00:00,37 Lorry Station,17.72
2025-02-02 13:00:00+00:00,37 Lorry Station,15.29
2025-02-02 15:00:00+00:00,37 Lorry Station,17.53
2025-02-02 16:00:00+00:00,37 Lorry Station,44.73
2025-02-02 19:00:00+00:00,37 Lorry Station,41.93
2025-02-02 20:00:00+00:00,37 Lorry Station,40.96
2025-02-03 00:00:00+00:00,37 Lorry Station,42.75
2025-02-03 08:00:00+00:00,37 Lorry Station,46.76
2025-02-03 09:00:00+00:00,37 Lorry Station,43.79
2025-02-03 20:00:00+00:00,37 Lorry Station,37.43
2025-02-03 21:00:00+00:00,37 Lorry Station,37.49
2025-02-04 03:00:00+00:00,37 Lorry Station,43.07
2025-02-04 04:00:00+00:00,37 Lorry Station,45.92
2025-02-04 05:00:00+00:00,37 Lorry Station,50.08
2025-02-04 07:00:00+00:00,37 Lorry Station,53.46
2025-02-04 08:00:00+00:00,37 Lorry Station,47.77
2025-02-04 09:00:00+00:00,37 Lorry Station,40.52
2025-02-04 10:00:00+00:00,37 Lorry Station,36.55
2025-02-04 11:00:00+00:00,37 Lorry Station,31.74
2025-02-04 12:00:00+00:00,37 Lorry Station,33.11
2025-02-04 13:00:00+00:00,37 Lorry Station,27.36
2025-02-04 14:00:00+00:00,37 Lorry Station,21.58
2025-02-04 15:00:00+00:00,37 Lorry Station,26.54
2025-02-04 16:00:00+00:00,37 Lorry Station,29.87
2025-02-04 19:00:00+00:00,37 Lorry Station,39.42
2025-02-04 20:00:00+00:00,37 Lorry Station,43.25
2025-02-04 21:00:00+00:00,37 Lorry Station,38.28
2025-02-04 22:00:00+00:00,37 Lorry Station,31.38
2025-02-04 23:00:00+00:00,37 Lorry Station,30.16
2025-02-05 00:00:00+00:00,37 Lorry Station,32.11
2025-02-05 01:00:00+00:00,37 Lorry Station,32.39
2025-02-05 02:00:00+00:00,37 Lorry Station,33.95
2025-02-05 05:00:00+00:00,37 Lorry Station,48.02
2025-02-05 06:00:00+00:00,37 Lorry Station,55.2
2025-02-05 08:00:00+00:00,37 Lorry Station,47.06
2025-02-05 09:00:00+00:00,37 Lorry Station,41.58
2025-02-05 10:00:00+00:00,37 Lorry Station,38.66
2025-02-05 13:00:00+00:00,37 Lorry Station,26.06
2025-02-05 14:00:00+00:00,37 Lorry Station,24.24
2025-02-05 15:00:00+00:00,37 Lorry Station,25.36
2025-02-05 17:00:00+00:00,37 Lorry Station,35.64
2025-02-05 18:00:00+00:00,37 Lorry Station,34.7
2025-02-05 19:00:00+00:00,37 Lorry Station,36.74
2025-02-05 20:00:00+00:00,37 Lorry Station,32.09
2025-02-05 21:00:00+00:00,37 Lorry Station,25.03
2025-02-05 22:00:00+00:00,37 Lorry Station,24.21
2025-02-05 23:00:00+00:00,37 Lorry Station,24.42
2025-02-06 01:00:00+00:00,37 Lorry Station,24.96
2025-02-06 02:00:00+00:00,37 Lorry Station,24.72
2025-02-06 03:00:00+00:00,37 Lorry Station,26.76
2025-02-06 04:00:00+00:00,37 Lorry Station,35.07
2025-02-06 05:00:00+00:00,37 Lorry Station,38.63
2025-02-06 06:00:00+00:00,37 Lorry Station,48.67
2025-02-06 07:00:00+00:00,37 Lorry Station,60.13
2025-02-06 15:00:00+00:00,37 Lorry Station,23.19
2025-02-06 16:00:00+00:00,37 Lorry Station,24.42
2025-02-06 19:00:00+00:00,37 Lorry Station,27.42
2025-02-06 20:00:00+00:00,37 Lorry Station,37.97
2025-02-06 22:00:00+00:00,37 Lorry Station,30.48
2025-02-06 23:00:00+00:00,37 Lorry Station,24.16
2025-02-07 00:00:00+00:00,37 Lorry Station,24.15
2025-02-07 03:00:00+00:00,37 Lorry Station,27.15
2025-02-07 04:00:00+00:00,37 Lorry Station,32.73
2025-02-07 05:00:00+00:00,37 Lorry Station,41.84
2025-02-07 06:00:00+00:00,37 Lorry Station,37.66
2025-02-07 07:00:00+00:00,37 Lorry Station,43.06
2025-02-07 08:00:00+00:00,37 Lorry Station,38.97
2025-02-07 09:00:00+00:00,37 Lorry Station,34.51
2025-02-07 10:00:00+00:00,37 Lorry Station,31.81
2025-02-07 11:00:00+00:00,37 Lorry Station,32.43
2025-02-07 12:00:00+00:00,37 Lorry Station,25.26
2025-02-07 13:00:00+00:00,37 Lorry Station,22.43
2025-02-07 14:00:00+00:00,37 Lorry Station,27.32
2025-02-07 15:00:00+00:00,37 Lorry Station,24.55
2025-02-07 16:00:00+00:00,37 Lorry Station,28.45
2025-02-07 17:00:00+00:00,37 Lorry Station,40.29
2025-02-07 18:00:00+00:00,37 Lorry Station,36.54
2025-02-07 20:00:00+00:00,37 Lorry Station,33.93
2025-02-07 21:00:00+00:00,37 Lorry Station,29.94
2025-02-07 22:00:00+00:00,37 Lorry Station,23.94
2025-02-07 23:00:00+00:00,37 Lorry Station,23.79
2025-02-08 00:00:00+00:00,37 Lorry Station,25.46
2025-02-08 01:00:00+00:00,37 Lorry Station,27.04
2025-02-08 02:00:00+00:00,37 Lorry Station,28.15
2025-02-08 03:00:00+00:00,37 Lorry Station,24.74
2025-02-08 04:00:00+00:00,37 Lorry Station,28.12
2025-02-08 05:00:00+00:00,37 Lorry Station,32.42
2025-02-08 06:00:00+00:00,37 Lorry Station,36.89
2025-02-08 07:00:00+00:00,37 Lorry Station,52.16
2025-02-08 08:00:00+00:00,37 Lorry Station,36.12
2025-02-08 09:00:00+00:00,37 Lorry Station,34.84
2025-02-08 10:00:00+00:00,37 Lorry Station,30.97
