datetime,site_name,pm25_value
2025-08-01 09:00:00+00:00,Apapa Port,25.53
2025-08-01 10:00:00+00:00,Apapa Port,15.32
2025-08-01 11:00:00+00:00,Apapa Port,14.11
2025-08-01 12:00:00+00:00,Apapa Port,10.97
2025-08-01 13:00:00+00:00,Apapa Port,19.64
2025-08-01 14:00:00+00:00,Apapa Port,14.19
2025-08-01 16:00:00+00:00,Apapa Port,15.17
2025-08-01 17:00:00+00:00,Apapa Port,37.47
2025-08-01 18:00:00+00:00,Apapa Port,22.89
2025-08-01 22:00:00+00:00,Apapa Port,15.4
2025-08-01 23:00:00+00:00,Apapa Port,16.3
2025-08-02 01:00:00+00:00,Apapa Port,13.42
2025-08-02 02:00:00+00:00,Apapa Port,11.97
2025-08-02 10:00:00+00:00,Apapa Port,17.13
2025-08-02 11:00:00+00:00,Apapa Port,23.87
2025-08-02 12:00:00+00:00,Apapa Port,16.18
2025-08-02 14:00:00+00:00,Apapa Port,34.4
2025-08-02 15:00:00+00:00,Apapa Port,16.89
2025-08-02 17:00:00+00:00,Apapa Port,17.37
2025-08-02 18:00:00+00:00,Apapa Port,56.43
2025-08-02 19:00:00+00:00,Apapa Port,30.15
2025-08-02 21:00:00+00:00,Apapa Port,32.19
2025-08-02 22:00:00+00:00,Apapa Port,46.77
2025-08-02 23:00:00+00:00,Apapa Port,11.16
2025-08-03 00:00:00+00:00,Apapa Port,14.62
2025-08-03 01:00:00+00:00,Apapa Port,15.34
2025-08-03 09:00:00+00:00,Apapa Port,14.17
2025-08-03 10:00:00+00:00,Apapa Port,13.36
2025-08-03 11:00:00+00:00,Apapa Port,21.34
2025-08-03 12:00:00+00:00,Apapa Port,21.37
2025-08-03 13:00:00+00:00,Apapa Port,48.6
2025-08-03 14:00:00+00:00,Apapa Port,14.98
2025-08-03 15:00:00+00:00,Apapa Port,41.3
2025-08-03 17:00:00+00:00,Apapa Port,16.83
2025-08-03 18:00:00+00:00,Apapa Port,22.51
2025-08-03 19:00:00+00:00,Apapa Port,25.14
2025-08-04 10:00:00+00:00,Apapa Port,17.64
2025-08-04 11:00:00+00:00,Apapa Port,17.74
2025-08-04 12:00:00+00:00,Apapa Port,16.78
2025-08-04 13:00:00+00:00,Apapa Port,21.29
2025-08-04 14:00:00+00:00,Apapa Port,35.35
2025-08-04 15:00:00+00:00,Apapa Port,18.3
2025-08-04 16:00:00+00:00,Apapa Port,17.48
2025-08-04 17:00:00+00:00,Apapa Port,29.23
2025-08-05 08:00:00+00:00,Apapa Port,16.18
2025-08-05 09:00:00+00:00,Apapa Port,17.29
2025-08-05 10:00:00+00:00,Apapa Port,29.28
2025-08-05 11:00:00+00:00,Apapa Port,16.34
2025-08-05 12:00:00+00:00,Apapa Port,16.55
2025-08-05 13:00:00+00:00,Apapa Port,15.62
2025-08-05 14:00:00+00:00,Apapa Port,15.02
2025-08-05 15:00:00+00:00,Apapa Port,29.36
2025-08-05 17:00:00+00:00,Apapa Port,22.19
2025-08-05 18:00:00+00:00,Apapa Port,14.98
2025-08-05 19:00:00+00:00,Apapa Port,19.48
2025-08-05 22:00:00+00:00,Apapa Port,22.1
2025-08-05 23:00:00+00:00,Apapa Port,21.94
2025-08-06 00:00:00+00:00,Apapa Port,18.63
2025-08-06 01:00:00+00:00,Apapa Port,13.56
2025-08-06 09:00:00+00:00,Apapa Port,17.33
2025-08-06 10:00:00+00:00,Apapa Port,18.01
2025-08-06 11:00:00+00:00,Apapa Port,15.72
2025-08-06 12:00:00+00:00,Apapa Port,15.08
2025-08-06 13:00:00+00:00,Apapa Port,15.21
2025-08-06 14:00:00+00:00,Apapa Port,15.85
2025-08-06 15:00:00+00:00,Apapa Port,16.34
2025-08-06 16:00:00+00:00,Apapa Port,21.74
2025-08-06 17:00:00+00:00,Apapa Port,22.81
2025-08-06 18:00:00+00:00,Apapa Port,24.46
2025-08-06 19:00:00+00:00,Apapa Port,22.69
2025-08-06 20:00:00+00:00,Apapa Port,38.39
2025-08-06 21:00:00+00:00,Apapa Port,21.72
2025-08-06 22:00:00+00:00,Apapa Port,21.56
2025-08-07 09:00:00+00:00,Apapa Port,20.53
2025-08-07 10:00:00+00:00,Apapa Port,15.75
2025-08-07 11:00:00+00:00,Apapa Port,27.0
2025-08-07 12:00:00+00:00,Apapa Port,44.15
2025-08-07 13:00:00+00:00,Apapa Port,43.25
2025-08-07 14:00:00+00:00,Apapa Port,13.13
2025-08-07 15:00:00+00:00,Apapa Port,25.58
2025-08-07 16:00:00+00:00,Apapa Port,46.25
2025-08-07 17:00:00+00:00,Apapa Port,12.58
2025-08-07 18:00:00+00:00,Apapa Port,20.32
2025-08-07 19:00:00+00:00,Apapa Port,63.05
2025-08-07 20:00:00+00:00,Apapa Port,65.65
2025-08-07 21:00:00+00:00,Apapa Port,58.24
2025-08-07 22:00:00+00:00,Apapa Port,48.17
2025-08-07 23:00:00+00:00,Apapa Port,58.53
2025-08-08 00:00:00+00:00,Apapa Port,11.6
2025-08-08 01:00:00+00:00,Apapa Port,11.93
2025-08-08 09:00:00+00:00,Apapa Port,40.68
2025-08-08 10:00:00+00:00,Apapa Port,50.49
2025-08-08 11:00:00+00:00,Apapa Port,72.47
2025-08-08 12:00:00+00:00,Apapa Port,15.04
2025-08-08 13:00:00+00:00,Apapa Port,80.23
2025-08-08 14:00:00+00:00,Apapa Port,46.79
2025-08-08 15:00:00+00:00,Apapa Port,66.5
2025-08-08 16:00:00+00:00,Apapa Port,64.35
2025-08-08 17:00:00+00:00,Apapa Port,15.98
2025-08-08 18:00:00+00:00,Apapa Port,53.35
2025-08-08 19:00:00+00:00,Apapa Port,22.04
2025-08-08 20:00:00+00:00,Apapa Port,19.28
2025-08-08 21:00:00+00:00,Apapa Port,15.54
2025-08-08 22:00:00+00:00,Apapa Port,18.84
2025-08-08 23:00:00+00:00,Apapa Port,16.05
2025-08-09 00:00:00+00:00,Apapa Port,19.28
2025-08-09 03:00:00+00:00,Apapa Port,12.37
2025-08-09 04:00:00+00:00,Apapa Port,10.9
2025-08-09 08:00:00+00:00,Apapa Port,27.12
2025-08-09 09:00:00+00:00,Apapa Port,25.43
2025-08-09 10:00:00+00:00,Apapa Port,29.47
2025-08-09 11:00:00+00:00,Apapa Port,19.85
2025-08-09 12:00:00+00:00,Apapa Port,21.47
2025-08-09 13:00:00+00:00,Apapa Port,29.93
2025-08-09 14:00:00+00:00,Apapa Port,20.9
2025-08-09 15:00:00+00:00,Apapa Port,43.45
2025-08-09 16:00:00+00:00,Apapa Port,48.98
2025-08-09 17:00:00+00:00,Apapa Port,64.81
2025-08-09 19:00:00+00:00,Apapa Port,16.09
2025-08-09 20:00:00+00:00,Apapa Port,18.58
2025-08-09 21:00:00+00:00,Apapa Port,39.06
2025-08-09 22:00:00+00:00,Apapa Port,49.7
2025-08-09 23:00:00+00:00,Apapa Port,46.19
2025-08-10 00:00:00+00:00,Apapa Port,36.03
2025-08-10 08:00:00+00:00,Apapa Port,20.16
2025-08-10 09:00:00+00:00,Apapa Port,21.19
2025-08-10 10:00:00+00:00,Apapa Port,9.96
2025-08-10 11:00:00+00:00,Apapa Port,21.98
2025-08-10 12:00:00+00:00,Apapa Port,28.16
2025-08-10 13:00:00+00:00,Apapa Port,17.86
2025-08-10 14:00:00+00:00,Apapa Port,32.35
2025-08-10 15:00:00+00:00,Apapa Port,30.0
2025-08-10 16:00:00+00:00,Apapa Port,20.17
2025-08-10 17:00:00+00:00,Apapa Port,21.72
2025-08-10 18:00:00+00:00,Apapa Port,15.12
2025-08-10 20:00:00+00:00,Apapa Port,16.36
2025-08-10 21:00:00+00:00,Apapa Port,12.31
2025-08-11 00:00:00+00:00,Apapa Port,21.56
2025-08-11 02:00:00+00:00,Apapa Port,13.69
2025-08-11 03:00:00+00:00,Apapa Port,12.82
2025-08-11 04:00:00+00:00,Apapa Port,13.16
