datetime,site_name,pm25_value
2025-02-01 09:00:00+00:00,Agege,27.47
2025-02-01 10:00:00+00:00,Agege,41.91
2025-02-01 11:00:00+00:00,Agege,43.42
2025-02-01 13:00:00+00:00,Agege,61.34
2025-02-01 14:00:00+00:00,Agege,64.91
2025-02-01 15:00:00+00:00,Agege,59.79
2025-02-01 16:00:00+00:00,Agege,40.68
2025-02-01 17:00:00+00:00,Agege,27.13
2025-02-01 18:00:00+00:00,Agege,34.81
2025-02-01 19:00:00+00:00,Agege,21.26
2025-02-01 20:00:00+00:00,Agege,21.79
2025-02-01 21:00:00+00:00,Agege,25.35
2025-02-02 07:00:00+00:00,Agege,48.76
2025-02-02 08:00:00+00:00,Agege,49.9
2025-02-02 09:00:00+00:00,Agege,44.03
2025-02-02 10:00:00+00:00,Agege,32.14
2025-02-02 11:00:00+00:00,Agege,37.34
2025-02-02 12:00:00+00:00,Agege,41.66
2025-02-02 13:00:00+00:00,Agege,35.43
2025-02-02 14:00:00+00:00,Agege,44.03
2025-02-02 15:00:00+00:00,Agege,22.81
2025-02-02 16:00:00+00:00,Agege,21.82
2025-02-02 17:00:00+00:00,Agege,21.9
2025-02-02 18:00:00+00:00,Agege,24.2
2025-02-02 19:00:00+00:00,Agege,23.92
2025-02-02 20:00:00+00:00,Agege,28.36
2025-02-02 21:00:00+00:00,Agege,42.82
2025-02-02 22:00:00+00:00,Agege,47.3
2025-02-02 23:00:00+00:00,Agege,44.03
2025-02-03 00:00:00+00:00,Agege,54.54
2025-02-03 01:00:00+00:00,Agege,37.5
2025-02-03 02:00:00+00:00,Agege,37.22
2025-02-03 03:00:00+00:00,Agege,44.73
2025-02-03 04:00:00+00:00,Agege,41.61
2025-02-03 05:00:00+00:00,Agege,49.06
2025-02-03 08:00:00+00:00,Agege,57.1
2025-02-03 09:00:00+00:00,Agege,60.07
2025-02-03 10:00:00+00:00,Agege,43.37
2025-02-03 11:00:00+00:00,Agege,28.29
2025-02-03 12:00:00+00:00,Agege,28.26
2025-02-03 13:00:00+00:00,Agege,31.76
2025-02-03 14:00:00+00:00,Agege,51.99
2025-02-03 15:00:00+00:00,Agege,44.69
