site_name,latitude,longitude,source,completeness_feb2025,completeness_aug2025,in_feb2025,in_aug2025
Agege,6.643477,3.317608,airqo,85.7,55.5,True,False
Apapa Port,6.43791,3.38024,airqo,2.5,62.9,False,True
Araromi,6.554165,3.392116,airqo,88.1,76.5,True,True
Banana Island,6.46569,3.45629,airqo,60.7,66.0,False,True
Egbeda,6.592269,3.288608,airqo,89.0,72.4,True,True
Eti-Osa,6.422954,3.411941,airqo,86.5,67.1,True,True
Ifako-Ijaiye,6.675219,3.273716,airqo,83.9,65.7,True,True
Ikeja Hospital Road,6.594484,3.340566,airqo,83.9,60.8,True,True
Ikotun,6.56533,3.25339,airqo,80.4,28.4,True,False
Lekki (LASEPA),6.446263,3.4714,purpleair,98.1,0.0,True,False
Mushin,6.529332,3.35175,airqo,87.8,72.7,True,True
NIMET Oshodi,6.545815,3.35063,airqo,86.5,4.6,True,False
Oshodi,6.55686,3.35579,airqo,79.2,10.8,True,False
Oshodi Bus Terminal,6.556653,3.352285,openaq,0.0,62.0,False,True
UNILAG Colocation A,6.517264,3.393849,airqo,88.5,73.4,True,True
UNILAG Colocation B,6.516319,3.393952,airqo,74.1,61.6,False,True
