datetime,site_name,pm25_value
2025-07-07 08:00:00+00:00,Arepo (Ogun State),31.16
2025-07-07 09:00:00+00:00,Arepo (Ogun State),31.28
2025-07-07 10:00:00+00:00,Arepo (Ogun State),32.58
2025-07-07 11:00:00+00:00,Arepo (Ogun State),29.92
2025-07-07 12:00:00+00:00,Arepo (Ogun State),30.63
2025-07-07 13:00:00+00:00,Arepo (Ogun State),45.86
2025-07-07 14:00:00+00:00,Arepo (Ogun State),23.39
2025-07-07 15:00:00+00:00,Arepo (Ogun State),25.8
2025-07-07 16:00:00+00:00,Arepo (Ogun State),26.65
2025-07-07 17:00:00+00:00,Arepo (Ogun State),24.37
2025-07-07 18:00:00+00:00,Arepo (Ogun State),24.9
2025-07-07 19:00:00+00:00,Arepo (Ogun State),23.6
2025-07-07 20:00:00+00:00,Arepo (Ogun State),25.3
2025-07-07 21:00:00+00:00,Arepo (Ogun State),24.72
2025-07-07 22:00:00+00:00,Arepo (Ogun State),23.81
2025-07-07 23:00:00+00:00,Arepo (Ogun State),20.95
2025-07-08 00:00:00+00:00,Arepo (Ogun State),22.67
2025-07-08 01:00:00+00:00,Arepo (Ogun State),19.59
2025-07-08 02:00:00+00:00,Arepo (Ogun State),17.41
2025-07-08 03:00:00+00:00,Arepo (Ogun State),18.75
2025-07-08 04:00:00+00:00,Arepo (Ogun State),17.45
2025-07-08 05:00:00+00:00,Arepo (Ogun State),16.71
2025-07-08 06:00:00+00:00,Arepo (Ogun State),13.88
2025-07-08 07:00:00+00:00,Arepo (Ogun State),18.72
2025-07-08 08:00:00+00:00,Arepo (Ogun State),22.61
2025-07-08 09:00:00+00:00,Arepo (Ogun State),18.41
2025-07-08 10:00:00+00:00,Arepo (Ogun State),16.12
2025-07-08 11:00:00+00:00,Arepo (Ogun State),23.44
2025-07-08 12:00:00+00:00,Arepo (Ogun State),19.86
2025-07-08 13:00:00+00:00,Arepo (Ogun State),18.14
2025-07-08 14:00:00+00:00,Arepo (Ogun State),18.92
2025-07-08 15:00:00+00:00,Arepo (Ogun State),19.66
2025-07-08 16:00:00+00:00,Arepo (Ogun State),19.23
2025-07-08 17:00:00+00:00,Arepo (Ogun State),17.99
2025-07-08 18:00:00+00:00,Arepo (Ogun State),18.84
2025-07-08 19:00:00+00:00,Arepo (Ogun State),9.97
2025-07-08 20:00:00+00:00,Arepo (Ogun State),12.63
2025-07-08 21:00:00+00:00,Arepo (Ogun State),10.49
2025-07-08 22:00:00+00:00,Arepo (Ogun State),10.14
2025-07-08 23:00:00+00:00,Arepo (Ogun State),8.13
2025-07-09 00:00:00+00:00,Arepo (Ogun State),7.42
2025-07-09 01:00:00+00:00,Arepo (Ogun State),6.63
2025-07-09 02:00:00+00:00,Arepo (Ogun State),9.74
2025-07-09 03:00:00+00:00,Arepo (Ogun State),2.65
2025-07-09 04:00:00+00:00,Arepo (Ogun State),0.01
2025-07-09 05:00:00+00:00,Arepo (Ogun State),0.0
2025-07-09 06:00:00+00:00,Arepo (Ogun State),1.44
2025-07-09 07:00:00+00:00,Arepo (Ogun State),1.63
2025-07-09 08:00:00+00:00,Arepo (Ogun State),7.31
2025-07-09 09:00:00+00:00,Arepo (Ogun State),19.29
2025-07-09 10:00:00+00:00,Arepo (Ogun State),14.32
2025-07-09 11:00:00+00:00,Arepo (Ogun State),10.45
2025-07-09 12:00:00+00:00,Arepo (Ogun State),19.77
2025-07-09 13:00:00+00:00,Arepo (Ogun State),14.53
2025-07-09 14:00:00+00:00,Arepo (Ogun State),14.72
2025-07-09 15:00:00+00:00,Arepo (Ogun State),14.75
2025-07-09 16:00:00+00:00,Arepo (Ogun State),8.7
2025-07-09 17:00:00+00:00,Arepo (Ogun State),14.62
2025-07-09 18:00:00+00:00,Arepo (Ogun State),11.42
2025-07-09 19:00:00+00:00,Arepo (Ogun State),12.81
2025-07-09 20:00:00+00:00,Arepo (Ogun State),18.29
2025-07-09 21:00:00+00:00,Arepo (Ogun State),18.37
2025-07-09 22:00:00+00:00,Arepo (Ogun State),21.19
2025-07-09 23:00:00+00:00,Arepo (Ogun State),23.25
2025-07-10 00:00:00+00:00,Arepo (Ogun State),20.84
2025-07-10 01:00:00+00:00,Arepo (Ogun State),15.12
2025-07-10 02:00:00+00:00,Arepo (Ogun State),10.63
2025-07-10 03:00:00+00:00,Arepo (Ogun State),9.52
2025-07-10 04:00:00+00:00,Arepo (Ogun State),9.14
2025-07-10 05:00:00+00:00,Arepo (Ogun State),10.3
2025-07-10 06:00:00+00:00,Arepo (Ogun State),19.03
2025-07-10 07:00:00+00:00,Arepo (Ogun State),22.09
2025-07-10 08:00:00+00:00,Arepo (Ogun State),18.55
2025-07-10 09:00:00+00:00,Arepo (Ogun State),12.4
2025-07-10 10:00:00+00:00,Arepo (Ogun State),11.28
2025-07-10 11:00:00+00:00,Arepo (Ogun State),11.44
2025-07-10 12:00:00+00:00,Arepo (Ogun State),15.44
2025-07-10 13:00:00+00:00,Arepo (Ogun State),18.89
2025-07-10 14:00:00+00:00,Arepo (Ogun State),19.73
2025-07-10 15:00:00+00:00,Arepo (Ogun State),20.47
2025-07-10 16:00:00+00:00,Arepo (Ogun State),23.13
2025-07-10 17:00:00+00:00,Arepo (Ogun State),23.1
2025-07-10 18:00:00+00:00,Arepo (Ogun State),24.96
2025-07-10 19:00:00+00:00,Arepo (Ogun State),24.33
2025-07-10 20:00:00+00:00,Arepo (Ogun State),20.82
2025-07-10 21:00:00+00:00,Arepo (Ogun State),22.97
2025-07-10 22:00:00+00:00,Arepo (Ogun State),22.84
2025-07-10 23:00:00+00:00,Arepo (Ogun State),21.48
2025-07-11 00:00:00+00:00,Arepo (Ogun State),21.77
2025-07-11 01:00:00+00:00,Arepo (Ogun State),18.67
2025-07-11 02:00:00+00:00,Arepo (Ogun State),14.32
2025-07-11 03:00:00+00:00,Arepo (Ogun State),16.62
2025-07-11 04:00:00+00:00,Arepo (Ogun State),17.85
2025-07-11 05:00:00+00:00,Arepo (Ogun State),19.31
2025-07-11 06:00:00+00:00,Arepo (Ogun State),22.56
2025-07-11 07:00:00+00:00,Arepo (Ogun State),24.47
2025-07-11 08:00:00+00:00,Arepo (Ogun State),20.39
2025-07-11 09:00:00+00:00,Arepo (Ogun State),20.99
2025-07-11 10:00:00+00:00,Arepo (Ogun State),22.07
2025-07-11 11:00:00+00:00,Arepo (Ogun State),24.02
2025-07-11 12:00:00+00:00,Arepo (Ogun State),23.96
2025-07-11 13:00:00+00:00,Arepo (Ogun State),24.08
2025-07-11 14:00:00+00:00,Arepo (Ogun State),23.21
2025-07-11 15:00:00+00:00,Arepo (Ogun State),23.38
2025-07-11 16:00:00+00:00,Arepo (Ogun State),19.25
2025-07-11 17:00:00+00:00,Arepo (Ogun State),18.35
2025-07-11 18:00:00+00:00,Arepo (Ogun State),17.53
2025-07-11 19:00:00+00:00,Arepo (Ogun State),22.65
2025-07-11 20:00:00+00:00,Arepo (Ogun State),20.57
2025-07-11 21:00:00+00:00,Arepo (Ogun State),18.1
